18.09 open;18.09 max;18.09 min;18.09 close;18.10 open;18.10 max;18.10 min;18.10 close;20.11 open;20.11 max;20.11 min;20.11 close;18.12 open;18.12 max;18.12 min;18.12 close
109570;109570;109510;109570;115070;115070;114890;114940;112730;112730;112680;112710;109740;109740;109620;109660
109570;109570;109510;109560;114930;114980;114930;114950;112700;112700;112590;112630;109650;109660;109480;109510
109560;109600;109560;109570;114960;114990;114930;114950;112630;112660;112610;112640;109520;109590;109510;109580
109550;109580;109540;109560;114950;114980;114940;114970;112620;112650;112580;112630;109580;109580;109510;109510
109570;109570;109550;109560;114970;115000;114960;114990;112640;112640;112590;112610;109510;109560;109480;109560
109570;109620;109570;109590;114990;115000;114950;114950;112600;112660;112600;112620;109560;109560;109480;109530
109590;109610;109570;109580;114960;114970;114940;114950;112640;112710;112640;112670;109530;109580;109490;109500
109580;109620;109570;109610;114940;114950;114800;114900;112680;112780;112660;112750;109490;109510;109420;109470
109610;109630;109590;109600;114900;114920;114870;114900;112750;112800;112720;112750;109480;109520;109460;109460
109610;109640;109610;109610;114910;115000;114880;115000;112770;112780;112730;112730;109460;109470;109310;109420
109600;109610;109580;109600;115000;115030;114960;115010;112760;112830;112740;112780;109420;109420;109350;109380
109600;109650;109600;109640;115020;115020;114950;114990;112800;112810;112730;112750;109370;109400;109320;109370
109640;109650;109600;109620;114980;115010;114970;114990;112750;112790;112740;112750;109370;109380;109330;109360
109620;109650;109620;109640;115000;115010;114970;114980;112760;112770;112700;112740;109360;109400;109320;109400
109630;109680;109630;109670;114980;114990;114940;114980;112750;112780;112710;112740;109390;109410;109370;109390
109680;109750;109680;109750;114990;115020;114960;114980;112740;112870;112700;112780;109390;109410;109360;109360
109730;109730;109670;109680;114970;114970;114880;114930;112780;112830;112780;112810;109370;109370;109290;109370
109670;109670;109650;109650;114940;114970;114910;114940;112820;112850;112790;112800;109350;109390;109330;109370
109650;109700;109650;109680;114940;114970;114930;114950;112790;112830;112760;112820;109360;109430;109360;109370
109710;109790;109710;109790;114970;114980;114940;114940;112830;112870;112800;112830;109370;109410;109300;109380
109790;109790;109750;109760;114940;114960;114920;114960;112820;112840;112760;112780;109370;109440;109370;109400
109750;109760;109750;109760;114950;114950;114920;114940;112790;112800;112750;112790;109380;109460;109330;109450
109740;109750;109710;109720;114940;114950;114920;114930;112800;112810;112750;112790;109450;109490;109390;109410
109740;109760;109720;109750;114930;114930;114890;114910;112780;112790;112730;112730;109420;109480;109390;109460
109740;109780;109740;109760;114900;114900;114860;114880;112740;112760;112710;112710;109450;109490;109420;109420
109760;109810;109760;109800;114880;114890;114840;114850;112720;112750;112700;112750;109430;109440;109400;109430
109810;109910;109730;109810;114860;114860;114510;114710;112730;112760;112710;112720;109420;109450;109380;109420
109830;109900;109830;109870;114710;114800;114650;114690;112720;112730;112600;112690;109420;109560;109400;109520
109890;109940;109760;109900;114690;114690;114580;114610;112690;112730;112670;112730;109520;109550;109430;109460
109900;109930;109870;109900;114600;114690;114590;114690;112730;112830;112730;112790;109460;109460;109390;109400
109880;109890;109840;109880;114690;114750;114670;114730;112790;112840;112780;112800;109410;109530;109400;109460
109880;109930;109870;109920;114720;114890;114720;114860;112780;112820;112760;112810;109450;109540;109450;109490
109920;109920;109860;109870;114850;114880;114800;114800;112820;112840;112800;112820;109490;109520;109470;109520
109880;109890;109850;109870;114800;114820;114750;114750;112810;112930;112800;112810;109520;109540;109460;109520
109880;109890;109860;109860;114770;114810;114770;114800;112810;112810;112730;112780;109520;109530;109470;109510
